Part,Configuration_group,Shape,Width_mm,Height_mm,Depth_mm,Wall_mm,X_mm,Y_mm,Z_mm,Material,Process,Qty
01_Main_shell,Core,tray,230,330,128,3,-115,0,0,PC-ABS,Prototype print; production tooling review,1
02_Service_door_frame,Core,ring,224,324,5,14,-112,3,129,PC-ABS,Prototype print; production tooling review,1
03_Upper_front_panel,Core,box,194,106,3,0,-97,207,130,PC-ABS,Prototype print; production tooling review,1
04_Lower_front_panel,Core,box,194,67,3,0,-97,17,130,PC-ABS,Prototype print; production tooling review,1
05_Optics_front_cover,Core,box,194,93,3,0,-97,114,130,PC-ABS,Prototype print; production tooling review,1
06_Input_shutter,Core,box,154,25,3,0,-70,86,131,PC-ABS,Prototype print; production tooling review,1
07_Door_EPDM_gasket,Core,ring,224,324,1,3,-112,3,128,EPDM,Die cut,1
08_Universal_mount_plate,Core,plate,180,260,4,0,-90,35,-8,304 stainless steel,Laser cut / bend / machine,1
09_Rear_standoff_L,Core,box,12,245,4,0,-84,43,-4,304 stainless steel,Laser cut / bend / machine,1
10_Rear_standoff_R,Core,box,12,245,4,0,72,43,-4,304 stainless steel,Laser cut / bend / machine,1
11_Dry_electronics_tray,Core,tray,196,96,66,3,-98,224,12,PC-ABS,Prototype print; production tooling review,1
12_Dry_electronics_lid,Core,box,190,90,2,0,-95,227,78,PC-ABS,Prototype print; production tooling review,1
13_Controller_UNO_envelope,Core,box,69,54,16,0,-89,250,20,COTS PCB envelope,Purchased envelope - VERIFY,1
14_Dual_power_fuse_module,Core,box,37,27,16,0,-10,278,20,COTS electrical envelope,Purchased envelope - VERIFY,1
15_Display_bezel,Core,ring,101,57,1,7,-47,246,133,PC-ABS,Prototype print; production tooling review,1
16_Display_protective_window,Core,box,86,42,1,0,-39.5,253.5,133,Polycarbonate,Prototype print; production tooling review,1
17_QR_label_area,Core,box,27,27,0.4,0,63,268,133,Label,Prototype print; production tooling review,1
18_Status_LED,Core,disk,5,5,1,0,-81,268,133,COTS LED,Purchased envelope - VERIFY,1
19_Buzzer_envelope,Core,disk,14,14,7,0,65,292,30,COTS buzzer,Purchased envelope - VERIFY,1
20_Sealed_strip_cassette,Core,tray,34,130,45,2,-106,87,22,Polypropylene,Prototype print; production tooling review,1
21_Cassette_sealed_lid,Core,box,30,126,2,0,-104,89,67,Polypropylene,Prototype print; production tooling review,1
22_Optical_chamber,Core,tray,158,59,66,2,-64,145,22,Black PC-ABS,Prototype print; production tooling review,1
23_Optical_removable_lid,Core,box,154,55,2,0,-62,147,88,Black PC-ABS,Prototype print; production tooling review,1
24_Optical_insert_baffle,Core,ring,148,49,7,3,-59,150,79,Black PC-ABS,Prototype print; production tooling review,1
