Part,Width_mm,Height_mm,Depth_mm,Volume_mm3,Solids,RebuildOK
01_Main_shell,230,330,128,643200,1,True
02_Service_door_frame,224,324,5,72800,1,True
03_Upper_front_panel,194,106,3,51612,1,True
04_Lower_front_panel,194,67,3,38994,1,True
05_Optics_front_cover,194,93,3,54126,1,True
06_Input_shutter,154,25,3,11550,1,True
07_Door_EPDM_gasket,224,324,1,3252,1,True
08_Universal_mount_plate,180,260,4,186885.84073464,1,True
09_Rear_standoff_L,12,245,4.09324511909274,11632.77219198,1,True
10_Rear_standoff_R,12,245,4.09324511909274,11632.77219198,1,True
11_Dry_electronics_tray,196,96,66,164556,1,True
12_Dry_electronics_lid,190,90,2,34200,1,True
13_Controller_UNO_envelope,69,54,16,59616,1,True
14_Dual_power_fuse_module,37,27,16,15984,1,True
15_Display_bezel,101,57,1,2016,1,True
16_Display_protective_window,86,42,1,3612,1,True
17_QR_label_area,27,27,0.4,291.6,1,True
18_Status_LED,5,5,1,19.63495408,1,True
19_Buzzer_envelope,14,14,7,1077.56628018,1,True
20_Sealed_strip_cassette,34,130,45,36360,1,True
21_Cassette_sealed_lid,30,126,2,7560,1,True
22_Optical_chamber,158,59,66,73172,1,True
23_Optical_removable_lid,154,55,2,16940,1,True
24_Optical_insert_baffle,148,49,7,8022,1,True
25_Strip_datum_carrier,137,13,8,3853,1,True
26_Reagent_strip_envelope,125,5,0.5,312.5,1,True
27_Scan_rail,142,6,6,5112,1,True
28_Optical_scan_carriage,28,28,3,1380,1,True
29_RGB_sensor_envelope,21,21,5,2205,1,True
30_Left_LED_bracket,10,16,3,264,1,True
31_Right_LED_bracket,10,16,3,264,1,True
32_Left_LED_envelope,6,8,2,96,1,True
33_Right_LED_envelope,6,8,2,96,1,True
34_Calibration_tile,8,8,1,64,1,True
35_Scan_motor_envelope,20,20,20,8000,1,True
36_Lead_screw_envelope,132,3,3,1188,1,True
37_Sample_drawer_module,154,24,51,41496,1,True
38_Wet_dry_barrier,198,3,112,66528,1,True
39_Drip_tray,148,12,72,47232,1,True
40_Used_strip_waste_cartridge,142,56,93,86520,1,True
41_Waste_transport_lid,138,52,2,4272,1,True
42_Waste_closure_slide,125,38,1,4750,1,True
43_Cleaning_fluid_cartridge,24,60,48,17600,1,True
44_Battery_tray,81,29,47,23778,1,True
45_Battery_protected_pack_envelope,75,23,39,67275,1,True
46_DC_connector_bracket,20,16,3,672,1,True
47_DC_connector_envelope,8,8,13,653.45127195,1,True
48_Cable_gland,12,12,9,763.40701482,1,True
49_Strain_relief,18,12,5,720,1,True
50_Cable_channel,8,188,7,5376,1,True
51_Door_interlock,10,14,7,980,1,True
52_Cartridge_present_switch,8,10,6,480,1,True
53_Drip_overflow_sensor,12,6,2,144,1,True
54_Strip_jam_home_sensor,8,8,5,320,1,True
55_Hinge_lower,8,8,16,603.18578949,1,True
56_Hinge_upper,8,8,16,603.18578949,1,True
57_Service_lock,12,12,13,1470.26536188,1,True
58_Tether_eye,16,16,4,603.18578949,1,True
59_M4_captive_fastener_0,4,4,7,87.9645943,1,True
59_M4_captive_fastener_1,4,4,7,87.9645943,1,True
59_M4_captive_fastener_2,4,4,7,87.9645943,1,True
59_M4_captive_fastener_3,4,4,7,87.9645943,1,True
Hook_adapter,180,260,4,186885.84073464,1,True
Hook_front_drop,70,75,4,21000,1,True
Hook_protective_pad,66,2,53,6996,1,True
Hook_rear_drop,70,60,4,16800,1,True
Hook_top_bridge,70,4,68,19040,1,True
Magnetic_adapter,180,260,4,186885.84073464,1,True
Magnet_pot_0,32,32,7,5629.73403523,1,True
Magnet_pot_1,32,32,7,5629.73403523,1,True
Magnet_pot_2,32,32,7,5629.73403523,1,True
Magnet_pot_3,32,32,7,5629.73403523,1,True
Partition_adapter,180,260,4,186885.84073464,1,True
Partition_bridge_0,4,35,66,9240,1,True
Partition_bridge_1,4,35,66,9240,1,True
Partition_fixed_jaw_0,40,35,4,5600,1,True
Partition_fixed_jaw_1,40,35,4,5600,1,True
Partition_M8_screw_0,8,8,16,804.24771932,1,True
Partition_M8_screw_1,8,8,16,804.24771932,1,True
Partition_moving_jaw_0,40,35,4.12783161436692,5393.89071157542,1,True
Partition_moving_jaw_1,40,35,4.12783161436692,5393.89071157542,1,True
Partition_pad_front_0,36,31,2,2232,1,True
Partition_pad_front_1,36,31,2,2232,1,True
Partition_pad_rear_0,36,31,2,2232,1,True
Partition_pad_rear_1,36,31,2,2232,1,True
Pedestal_adapter,180,260,4,186885.84073464,1,True
Pedestal_ballast_base,500,30,500,7500000,1,True
Pedestal_head,100,90,44,396000,1,True
Pedestal_tower,60,1200,6,432000,1,True
Rail_adapter,180,260,4,186885.84073464,1,True
Rail_bridge_0,12.1355798861874,20.0679082585094,4.74049775265144,1013.61548523821,1,True
Rail_bridge_1,12.1355798861874,20.0679082585094,4.74049775265144,1013.61548523821,1,True
Rail_front_half_0,54,27,20,6283.18530718,1,True
Rail_front_half_1,54,27,20,6283.18530718,1,True
Rail_insert_front_32mm_0,46,23,20,8576.5479443,1,True
Rail_insert_front_32mm_1,46,23,20,8576.5479443,1,True
Rail_insert_rear_32mm_0,46,23,20,8576.5479443,1,True
Rail_insert_rear_32mm_1,46,23,20,8576.5479443,1,True
Rail_rear_half_0,54,27,20,6283.18530718,1,True
Rail_rear_half_1,54,27,20,6283.18530718,1,True
REFERENCE_Partition,350,850,50,14875000,1,True
REFERENCE_Pedestal,950,20,950,18050000,1,True
REFERENCE_Rail,32,32,1300,1045522.03511468,1,True
REFERENCE_Smooth,650,850,30,16575000,1,True
Smooth_adapter,180,260,4,186885.84073464,1,True
Smooth_pad_0,50,55,2,5500,1,True
Smooth_pad_1,50,55,2,5500,1,True
Smooth_pad_2,50,55,2,5500,1,True
Smooth_pad_3,50,55,2,5500,1,True
